Time,Channel A,Channel B
(ms),(mV),(mV)

-2.47923187,7.92630300,8.67987200
-2.47916787,7.13275100,7.10199300
-2.47910387,6.33919800,6.31151500
-2.47903987,3.96161400,3.94315900
-2.47897587,1.58403000,2.36528000
-2.47891187,0.00000000,0.00000000
-2.47884787,-2.37758400,-2.36528000
-2.47878387,-3.96161400,-4.73363700
-2.47871987,-5.54872000,-6.31151500
-2.47865587,-7.13275100,-7.88939400
-2.47859187,-7.92630300,-7.88939400
-2.47852787,-8.71678100,-8.67987200
-2.47846387,-8.71678100,-8.67987200
-2.47839987,-7.92630300,-8.67987200
-2.47833587,-7.13275100,-7.10199300
-2.47827187,-5.54872000,-5.52103800
-2.47820787,-3.96161400,-3.94315900
-2.47814387,-2.37758400,-1.57787900
-2.47807987,0.79047730,0.78740150
-2.47801587,2.37758400,2.36528000
-2.47795187,3.96161400,4.73363700
-2.47788787,6.33919800,6.31151500
-2.47782387,7.13275100,7.88939400
-2.47775987,7.92630300,8.67987200
-2.47769587,8.71678100,8.67987200
-2.47763187,8.71678100,8.67987200
-2.47756787,7.92630300,8.67987200
-2.47750387,7.13275100,7.10199300
-2.47743987,5.54872000,4.73363700
-2.47737587,3.96161400,3.94315900
-2.47731187,1.58403000,1.57787900
-2.47724787,0.00000000,0.00000000
-2.47718387,-2.37758400,-2.36528000
-2.47711987,-3.96161400,-4.73363700
-2.47705587,-6.33919800,-7.10199300
-2.47699187,-7.92630300,-7.88939400
-2.47692787,-9.51033400,-8.67987200
-2.47686387,-9.51033400,-9.46727400
-2.47679987,-9.51033400,-9.46727400
-2.47673587,-8.71678100,-8.67987200
-2.47667187,-7.13275100,-7.88939400
-2.47660787,-6.33919800,-6.31151500
-2.47654387,-4.75516700,-3.94315900
-2.47647987,-2.37758400,-2.36528000
-2.47641587,0.00000000,0.00000000
-2.47635187,3.16806100,2.36528000
-2.47628787,3.96161400,4.73363700
-2.47622387,5.54872000,6.31151500
-2.47615987,7.13275100,7.88939400
-2.47609587,8.71678100,8.67987200
-2.47603187,8.71678100,8.67987200
-2.47596787,8.71678100,8.67987200
-2.47590387,7.92630300,8.67987200
-2.47583987,7.13275100,7.10199300
-2.47577587,6.33919800,5.52103800
-2.47571187,3.96161400,3.15575800
-2.47564787,1.58403000,0.78740150
-2.47558387,0.00000000,-0.78740150
-2.47551987,-2.37758400,-3.15575800
-2.47545587,-3.96161400,-5.52103800
-2.47539187,-6.33919800,-6.31151500
-2.47532787,-7.92630300,-7.88939400
-2.47526387,-8.71678100,-8.67987200
-2.47519987,-9.51033400,-9.46727400
-2.47513587,-9.51033400,-9.46727400
-2.47507187,-8.71678100,-8.67987200
-2.47500787,-7.92630300,-7.88939400
-2.47494387,-6.33919800,-6.31151500
-2.47487987,-4.75516700,-4.73363700
-2.47481587,-2.37758400,-2.36528000
-2.47475187,0.00000000,0.78740150
-2.47468787,2.37758400,2.36528000
-2.47462387,3.96161400,4.73363700
-2.47455987,5.54872000,6.31151500
-2.47449587,7.92630300,7.88939400
-2.47443187,7.92630300,7.88939400
-2.47436787,8.71678100,8.67987200
-2.47430387,9.51033400,8.67987200
-2.47423987,8.71678100,8.67987200
-2.47417587,7.92630300,7.88939400
-2.47411187,6.33919800,6.31151500
-2.47404787,4.75516700,4.73363700
-2.47398387,2.37758400,3.15575800
-2.47391987,0.79047730,0.00000000
-2.47385587,-1.58403000,-1.57787900
-2.47379187,-3.96161400,-3.94315900
-2.47372787,-5.54872000,-6.31151500
-2.47366387,-7.13275100,-7.88939400
-2.47359987,-8.71678100,-8.67987200
-2.47353587,-8.71678100,-8.67987200
